,date,open,high,low,close,adjclose,volume
1312,2020-03-20,5.474999904632568,5.757999897003174,5.1282501220703125,5.143750190734863,5.126132965087891,804636000
1313,2020-03-23,5.142749786376953,5.412000179290772,4.9629998207092285,5.317249774932861,5.299036979675293,643876000
1314,2020-03-24,5.724999904632568,6.316500186920166,5.701250076293945,6.229499816894531,6.208162784576416,1101644000
1315,2020-03-25,6.34499979019165,6.545499801635742,6.09149980545044,6.140500068664551,6.119467258453369,793432000
1316,2020-03-26,6.348499774932861,6.555500030517578,6.25,6.431000232696533,6.408972263336182,696108000
1317,2020-03-27,6.25,6.578000068664551,6.2170000076293945,6.318250179290772,6.2966084480285645,638828000
1318,2020-03-30,6.383999824523926,6.64900016784668,6.339749813079834,6.639750003814697,6.617007732391357,602252000
1319,2020-03-31,6.679999828338623,6.885000228881836,6.443749904632568,6.590000152587891,6.567427158355713,949960000
1320,2020-04-01,6.391250133514404,6.538249969482422,6.0320000648498535,6.076749801635742,6.055934906005859,656912000
1321,2020-04-02,6.105999946594238,6.400000095367432,6.057750225067139,6.386750221252441,6.36487340927124,675764000
1322,2020-04-03,6.348999977111816,6.390749931335449,5.959750175476074,6.097750186920166,6.0768632888793945,663212000
1323,2020-04-06,6.38100004196167,6.747000217437744,6.323249816894531,6.710000038146973,6.687016487121582,727884000
1324,2020-04-07,6.932499885559082,6.956250190734863,6.432499885559082,6.475749969482422,6.45357084274292,784520000
1325,2020-04-08,6.585249900817871,6.698750019073486,6.514999866485596,6.673749923706055,6.650890350341797,542444000
1326,2020-04-09,6.800000190734863,6.822999954223633,6.510499954223633,6.573750019073486,6.551233291625977,525564000
1327,2020-04-13,6.513750076293945,6.755000114440918,6.425000190734863,6.746250152587891,6.723142623901367,398408000
1328,2020-04-14,6.875,7.132999897003174,6.847249984741211,7.098750114440918,7.074435234069824,530948000
1329,2020-04-15,6.929999828338623,7.104249954223633,6.884500026702881,7.020999908447266,6.996951103210449,366148000
1330,2020-04-16,7.177000045776367,7.474999904632568,7.163750171661377,7.367499828338623,7.342263698577881,745620000
1331,2020-04-17,7.449999809265137,7.471499919891357,7.173500061035156,7.308000087738037,7.282968997955322,539120000
1332,2020-04-20,7.181000232696533,7.337500095367432,7.131750106811523,7.176249980926514,7.151670455932617,449388000
1333,2020-04-21,7.057750225067139,7.1192498207092285,6.677750110626221,6.737750053405762,6.714671611785889,735160000
1334,2020-04-22,6.930749893188477,7.196750164031982,6.885000228881836,7.153749942779541,7.129247188568115,483356000
1335,2020-04-23,7.196000099182129,7.328499794006348,7.074999809265137,7.100249767303467,7.075929641723633,424160000
1336,2020-04-24,7.090000152587891,7.2417497634887695,7.014999866485596,7.239749908447266,7.214951992034912,352328000
1337,2020-04-27,7.374750137329102,7.587500095367432,7.349999904632568,7.427000045776367,7.401561260223389,479388000
